verb,overall,that,other,none
say,1579,494,4,734
find,1475,104,4,41
state,697,454,1,146
reiterate,6,0,0,0
mutter,2,0,0,0
speculate,53,39,1,4
respond,141,11,0,6
affirm,13,4,0,0
mean,394,119,1,60
theorize,7,5,0,0
regret,8,0,0,0
assert,54,26,1,6
understand,122,4,5,5
reply,44,8,0,19
prove,224,24,0,8
indicate,250,109,0,26
holler,1,0,0,0
acknowledge,60,15,0,3
signify,21,1,0,0
declare,198,35,0,14
claim,414,168,1,78
expect,181,5,0,2
note,570,334,1,40
remember,68,6,0,3
joke,17,9,0,1
verify,12,4,0,0
plead,21,0,0,0
hypothesize,8,3,0,0
wonder,27,0,8,2
recall,100,23,0,17
proclaim,28,4,0,2
pretend,17,2,0,1
certify,77,0,0,0
disclose,7,1,0,0
reveal,268,98,0,20
demonstrate,104,30,1,1
concede,10,0,0,3
recognize,180,15,0,2
like,136,0,0,0
believe,573,238,2,141
comment,253,115,0,55
predict,67,22,0,4
resent,10,2,0,0
allege,39,14,0,2
deduce,8,5,0,1
yell,7,1,0,0
wail,9,0,0,0
see,1234,19,15,16
report,454,130,0,13
estimate,260,27,0,11
request,91,21,0,2
suspect,48,14,0,7
take,1916,2,0,3
warn,62,18,0,4
boast,8,0,0,0
sense,7,2,0,1
read,186,1,0,11
guess,11,2,0,3
determine,179,31,16,8
infer,12,5,0,0
explain,231,79,3,31
vow,13,2,0,0
know,1538,45,32,61
deny,111,8,0,6
tell,461,155,10,84
notice,41,10,0,2
hope,130,29,1,34
trust,22,0,0,0
agree,259,38,0,8
write,1787,299,3,146
promise,83,11,0,1
worry,21,5,0,2
wish,95,5,0,10
announce,379,134,0,32
perceive,59,1,0,1
caution,8,3,0,1
consider,709,24,2,5
opine,32,25,0,5
moan,1,0,0,0
stammer,1,0,0,0
add,563,84,1,40
whisper,4,0,0,1
imagine,87,3,1,2
fear,52,19,0,13
thank,14,0,0,2
confirm,148,41,1,2
learn,236,49,3,6
propose,258,41,0,4
observe,214,44,0,5
mention,220,41,0,5
anticipate,33,1,0,0
complain,57,16,0,3
think,582,92,1,241
maintain,256,22,0,3
confess,24,5,0,2
ignore,61,1,0,0
doubt,22,5,4,2
shout,12,1,0,4
reckon,1,0,0,0
presume,21,3,0,0
swear,10,2,0,0
remark,69,40,0,16
shriek,2,0,0,0
bet,5,0,0,1
growl,2,0,0,0
figure,19,2,0,3
hint,15,9,0,0
hear,193,9,0,4
suggest,480,261,0,56
scream,12,0,0,0
suppose,77,4,0,4
attest,17,1,0,0
guarantee,28,4,0,1
conceal,20,0,0,0
repeat,80,1,0,0
feel,596,184,2,159
emphasize,57,14,0,1
imply,41,12,0,2
answer,69,1,0,2
teach,149,18,0,1
reason,8,4,0,2
forget,44,4,0,0
recollect,1,0,0,0
intimate,1,0,0,1
realize,117,53,1,28
dream,15,0,0,2
hoot,1,0,0,0
hate,30,0,0,0
brag,2,0,0,0
testify,31,13,0,2
calculate,39,7,1,0
show,696,125,9,27
argue,251,181,0,21
establish,570,6,2,1
insist,57,23,0,12
accept,238,9,0,1
decide,438,48,9,24
signal,10,1,0,0
muse,2,0,0,0
